date,S1,S2,S3,S4,S5
2026-01-05,0.02473427654039595,0.026718301774684372,0.027948736584060718,0.029008963947217525,0.030089556281000407
2026-01-06,0.02455661178677393,0.02640577625442675,0.027701627724037836,0.02901638805846507,0.03021266266383793
2026-01-07,0.02435936985257503,0.026431674983030007,0.027711120540358403,0.029059975395539617,0.030156244167162338
2026-01-08,0.024295629907699068,0.026308316629627848,0.027571476396661243,0.02886842142325552,0.029992715202830977
2026-01-09,0.024249025019160708,0.026357475059608726,0.027601889730163087,0.028923998519368777,0.029792176288912176
2026-01-12,0.02439709585895078,0.02623057779261062,0.027475127185912385,0.028840894869077704,0.029942788121470665
2026-01-13,0.024386260064390708,0.026368460260633997,0.027600017947510214,0.028958939220473212,0.030010016785789295
2026-01-14,0.02442594100152662,0.026232391436709523,0.027480496482583883,0.0289119843830421,0.029998494464757552
2026-01-15,0.023970474994545743,0.026061545051061952,0.02735776118147859,0.028588856786234906,0.029583397486570906
2026-01-16,0.024063251414554898,0.02607029216784218,0.027387667140405414,0.028655119873209456,0.029538872434294206
