date,Y1,Y2,Y3,Y4,Y5
2026-01-05,0.02439361673095256,0.026468558422605034,0.02764813172693881,0.02869992604044489,0.029393579725941477
2026-01-06,0.024251318925121824,0.026147418119140665,0.02740141797869704,0.028682175136001086,0.029499187082135725
2026-01-07,0.024082157839675235,0.026180209630138788,0.027420201753155325,0.028718127687348972,0.02950019584836272
2026-01-08,0.024015574302988698,0.026053383716544882,0.027276428574271563,0.02854283758883125,0.029291711709007684
2026-01-09,0.02392459202931894,0.026100712537923693,0.027305605941729018,0.028597291848891752,0.02918788560038954
2026-01-12,0.024101855141547005,0.0259825046908319,0.02718567245224365,0.02851564510357177,0.02924169622921613
2026-01-13,0.02412026844581364,0.026116606657785445,0.027307676485188476,0.028634106108562266,0.029319556760173393
2026-01-14,0.024107668514697388,0.025988644112515426,0.02719480044945366,0.02858321951559343,0.02929713582135185
2026-01-15,0.02369956288547927,0.02581167870138458,0.02706528494870467,0.028270957396323168,0.028924701568871614
2026-01-16,0.023771358748916605,0.02581147553509389,0.027093979174724316,0.028332869155809338,0.02892540871321958
